step,x,y,speed,action,progress,on_track
191,58.83374859045572,484.83802253169387,9.148871669268352,"[True, False, False, False, False]",449.0262093399718,True
192,58.24560094045948,483.77349369587205,9.121490319716782,"[True, False, False, True, False]",451.02966088128517,True
193,57.70758942896334,482.69048607004174,9.069611739546867,"[True, False, False, True, False]",451.02966088128517,True
194,57.22247728531074,481.5937439214333,8.994301735015883,"[True, False, False, False, False]",451.02966088128517,True
195,56.78812295231793,480.48249753816634,8.948390182814428,"[True, False, False, True, False]",453.0649826457389,True
196,56.40691644665142,479.36164852604156,8.879255378229852,"[True, False, False, True, False]",453.0649826457389,True
197,56.080564443109616,478.2362695260572,8.788078471142981,"[True, False, False, True, False]",453.0649826457389,True
198,55.810094411509255,477.1115097558278,8.67616966483612,"[True, False, False, False, False]",455.12358821703236,True
199,55.59356311481763,475.9860492062343,8.595756678531629,"[True, False, False, True, False]",455.12358821703236,True
200,55.431652061900635,474.8650339815612,8.494856129980139,"[True, False, False, True, False]",457.1984008723572,True
201,55.324393634082895,473.75355608372746,8.37480872520299,"[True, False, False, True, False]",457.1984008723572,True
202,55.27120407883659,472.6565734802129,8.237035135140966,"[True, False, False, True, False]",457.1984008723572,True
203,55.270926046521595,471.5788382606015,8.08301441605896,"[True, False, True, False, False]",459.28382327365654,True
204,55.32151297562823,470.51195872475955,8.010586289620658,"[True, False, True, False, False]",459.28382327365654,True
205,55.419805730949314,469.4479368738506,8.014142064439383,"[True, False, True, False, False]",461.37547158485114,True
206,55.56161270462439,468.37933184972627,8.084797940541034,"[True, False, False, True, False]",461.37547158485114,True
207,55.74876739589852,467.3113481237725,8.131937444542418,"[True, False, False, True, False]",461.37547158485114,True
208,55.98239463075151,466.2492973296652,8.15582696878518,"[True, False, False, True, False]",463.46985841650155,True
209,56.262918743787495,465.1985033412793,8.156958707218282,"[True, False, True, False, False]",463.46985841650155,True
210,56.58742232822386,464.1508268166452,8.225857891898608,"[True, False, True, False, False]",465.5640164887556,True
211,56.95194130723519,463.098676178671,8.351293110740674,"[True, False, True, False, False]",465.5640164887556,True
