model_name,x,y,speed,progress,thr,rev,brk,time
ppo_T3,540.1180554051149,378.4294732105565,72.04206035728399,1954.473436931504,0.0,0.0,0.0,31.7599999999995
ppo_T3,542.7459457363686,377.4803299089601,69.8510943009404,1958.5892788756037,0.0,0.0,0.0,31.7999999999995
ppo_T3,545.2618717051881,376.4986613936244,67.51646352271023,1960.623618798353,0.0,0.0,0.0,31.8399999999995
ppo_T3,547.6803977751807,375.4579483365892,65.82340018145896,1964.627688765828,1.0,0.0,0.0,31.879999999999495
ppo_T3,549.9938807265928,374.3766982455292,63.84211543865252,1966.592831517639,1.0,1.0,0.0,31.919999999999497
ppo_T3,552.187165574909,373.2896157719885,61.19766503987929,1970.4511710427064,0.0,0.0,0.0,31.959999999999496
ppo_T3,554.2708873285585,372.1691632849206,59.14658761505371,1974.241554716889,1.0,0.0,0.0,31.999999999999496
ppo_T3,556.2436483488135,371.0244457212109,57.02063411445488,1976.1281375973092,1.0,0.0,0.0,32.039999999999495
ppo_T3,558.1053556584801,369.8644887368547,54.837568739544054,1979.9213618397732,1.0,0.0,0.0,32.079999999999494
ppo_T3,559.8571467671716,368.698048877697,52.61507646056902,1981.840006786576,1.0,0.0,0.0,32.11999999999949
ppo_T3,561.5012899091632,367.5334438881762,50.37057333512665,1983.7784994789165,1.0,0.0,0.0,32.15999999999949
ppo_T3,563.0427665905905,366.369081692492,48.29524874484635,1985.7384092751795,1.0,0.0,0.0,32.19999999999949
ppo_T3,564.4897109119456,365.1946919863995,46.588887159907415,1987.719676315775,1.0,0.0,0.0,32.23999999999949
ppo_T3,565.8515375531778,364.0013188142896,45.26803044562321,1989.7209668350165,1.0,0.0,0.0,32.27999999999949
ppo_T3,567.1387049391305,362.781491340902,44.33381147817427,1991.740053596028,1.0,0.0,0.0,32.31999999999949
ppo_T3,568.354908152131,361.53500201253246,43.537956867051754,1991.740053596028,1.0,0.0,0.0,32.35999999999949
ppo_T3,569.496948152567,360.26799654111653,42.64356800264576,1993.774174967538,1.0,0.0,0.0,32.39999999999949
ppo_T3,570.562564792334,358.986873196071,41.65945156990873,1995.820344367414,1.0,0.0,0.0,32.439999999999486
ppo_T3,571.5504297053188,357.69814095153845,40.59485715891559,1995.820344367414,1.0,0.0,0.0,32.479999999999485
ppo_T3,572.4601187040544,356.4082850723672,39.459332415262594,1997.8755851911096,1.0,0.0,0.0,32.519999999999484
ppo_T3,573.2920657141515,355.12364295093647,38.262589494859554,1997.8755851911096,1.0,0.0,0.0,32.559999999999484
ppo_T3,574.0494927209355,353.8425585170415,37.20612346588416,1999.9370999222808,1.0,0.0,0.0,32.59999999999948
ppo_T3,574.7354586147234,352.5634609418128,36.28567050500185,2002.0023988970995,1.0,0.0,0.0,32.63999999999948
ppo_T3,575.3528674755847,351.2848603065663,35.496595663554004,2002.0023988970995,1.0,0.0,0.0,32.67999999999948
ppo_T3,575.9044764372372,350.005343491676,34.83385320132629,2004.0693945852147,1.0,0.0,0.0,32.71999999999948
ppo_T3,576.389906019878,348.7306993054861,34.09875072024758,2004.0693945852147,1.0,0.0,0.0,32.75999999999948
ppo_T3,576.8116783188699,347.45935687847486,33.48696984384053,2006.1364503028567,1.0,0.0,0.0,32.79999999999948
ppo_T3,577.172187978985,346.1898261999644,32.99313715300995,2006.1364503028567,1.0,0.0,0.0,32.83999999999948
ppo_T3,577.4710719804291,344.92772653293,32.42517555703569,2008.2024114789208,1.0,0.0,0.0,32.87999999999948
ppo_T3,577.7086890340167,343.6785604610206,31.789126869156092,2008.2024114789208,1.0,0.0,0.0,32.91999999999948
ppo_T3,577.8871014990889,342.4405048126748,31.27112082351381,2010.266602657748,1.0,0.0,0.0,32.959999999999475
ppo_T3,578.008267807133,341.21182996636253,30.865870635759237,2010.266602657748,1.0,0.0,0.0,32.999999999999474
ppo_T3,578.0740477406465,339.9908950974972,30.567639687097746,2012.328798559724,1.0,0.0,0.0,33.03999999999947
ppo_T3,578.0862074438337,338.77614366680484,30.37030721723395,2012.328798559724,1.0,0.0,0.0,33.07999999999947
ppo_T3,578.0444553201444,337.5730551045961,30.09532073626644,2012.328798559724,1.0,0.0,0.0,33.11999999999947
ppo_T3,577.9492013787586,336.3869973330373,29.746915289914405,2014.3891685401693,1.0,0.0,0.0,33.15999999999947
ppo_T3,577.8019350573693,335.2161315268087,29.50226798073023,2014.3891685401693,1.0,0.0,0.0,33.19999999999947
ppo_T3,577.6040711129982,334.0587130518457,29.355234484965536,2016.448205641637,1.0,0.0,0.0,33.23999999999947
ppo_T3,577.356953414988,332.9130866798001,29.299391429220847,2016.448205641637,1.0,0.0,0.0,33.27999999999947
ppo_T3,577.0618585453105,331.7776820456067,29.32815057092895,2018.50665034852,1.0,0.0,0.0,33.31999999999947
ppo_T3,576.7199992159806,330.6510093358068,29.434877229845462,2018.50665034852,1.0,0.0,0.0,33.35999999999947
ppo_T3,576.3325275128651,329.5316551959047,29.613004018834104,2020.56541184677,1.0,0.0,0.0,33.399999999999466
ppo_T3,575.9005379747081,328.4182788456312,29.856132728736142,2020.56541184677,1.0,0.0,0.0,33.439999999999465
ppo_T3,575.425070515741,327.30960839155244,30.15811955638883,2022.62548180305,1.0,0.0,0.0,33.479999999999464
ppo_T3,574.907113199826,326.2044373269982,30.51314125747568,2022.62548180305,1.0,0.0,0.0,33.51999999999946
ppo_T3,574.3476048736725,325.1016212097949,30.91574189832691,2024.6878518918184,1.0,0.0,0.0,33.55999999999946
ppo_T3,573.7474376662876,324.00007450877,31.360861469343316,2024.6878518918184,1.0,0.0,0.0,33.59999999999946
ppo_T3,573.1074593614547,322.89876761045434,31.843848649841743,2024.6878518918184,1.0,0.0,0.0,33.63999999999946
ppo_T3,572.4284756496909,321.7967239778447,32.36046052878537,2026.7534245512893,1.0,0.0,0.0,33.67999999999946
ppo_T3,571.7112522658055,320.6930174535016,32.906852195530625,2028.82293241665,1.0,0.0,0.0,33.71999999999946
ppo_T3,570.9565170178714,319.58676969965035,33.479558944366936,2028.82293241665,1.0,0.0,0.0,33.75999999999946
ppo_T3,570.1618147645896,318.4846919159168,33.96806508297732,2030.8968545420155,1.0,0.0,0.0,33.79999999999946
ppo_T3,569.3278855623049,317.38571501612387,34.48902126675394,2030.8968545420155,1.0,0.0,0.0,33.839999999999456
ppo_T3,568.4554329047139,316.2888249094735,35.038742359396544,2032.9753881985005,1.0,0.0,0.0,33.879999999999455
ppo_T3,567.5451255794218,315.1930597062329,35.6139088622111,2032.9753881985005,1.0,0.0,0.0,33.919999999999455
ppo_T3,566.5975994301864,314.0975070653722,36.21154332859102,2035.0584565988784,1.0,0.0,0.0,33.959999999999454
