model_name,x,y,speed,progress,thr,rev,brk,time
ppo_track_v5_960252_steps,88.99968890419768,149.67359400297207,86.110531395694,791.4844475417289,1.0,0.0,1.0,9.999999999999964
ppo_track_v5_960252_steps,89.53104913254396,146.32195006002138,84.83756837549261,793.5846774703643,1.0,0.0,1.0,10.039999999999962
ppo_track_v5_960252_steps,90.0606465105551,143.0215196557562,83.5662694968572,797.7853148651571,1.0,0.0,1.0,10.07999999999996
ppo_track_v5_960252_steps,90.5802737198,139.8141055714526,81.23083445025935,799.8856921696095,0.0,0.0,1.0,10.11999999999996
ppo_track_v5_960252_steps,91.0894298098662,136.69954024155516,78.89770718409164,804.0863905175548,0.0,0.0,1.0,10.15999999999996
ppo_track_v5_960252_steps,91.58764673562884,133.6776620453057,76.56683329812341,806.1865983321042,0.0,0.0,1.0,10.199999999999958
ppo_track_v5_960252_steps,92.08220703639792,130.70638119899647,75.3039663577765,810.3863620693899,1.0,0.0,1.0,10.239999999999958
ppo_track_v5_960252_steps,92.57270430013568,127.7855821228215,74.0424490120312,812.4857605016447,1.0,0.0,1.0,10.279999999999957
ppo_track_v5_960252_steps,93.07315521647136,124.91934930296028,72.73986912841745,816.683271236177,1.0,0.0,1.0,10.319999999999956
ppo_track_v5_960252_steps,93.5818769805222,122.10722555530626,71.44419940300716,818.7813256468773,1.0,0.0,1.0,10.359999999999957
ppo_track_v5_960252_steps,94.09730176369362,119.34877955102108,70.15468206784297,820.8789318936417,1.0,0.0,1.0,10.399999999999954
ppo_track_v5_960252_steps,94.60744199654302,116.6848918086496,67.80736022516557,825.0730933603063,0.0,0.0,1.0,10.439999999999952
ppo_track_v5_960252_steps,95.11092525887156,114.11513786885656,65.46530906960831,827.1698758154412,0.0,0.0,1.0,10.479999999999952
ppo_track_v5_960252_steps,95.6294912764676,111.6032719738044,64.12088675566032,829.2666386185292,1.0,0.0,1.0,10.519999999999952
ppo_track_v5_960252_steps,96.16073430190384,109.1484901509368,62.790191062954804,831.3635121074213,1.0,0.0,1.0,10.55999999999995
ppo_track_v5_960252_steps,96.70241539341268,106.75003509803892,61.47156377987723,833.4606066774501,1.0,0.0,1.0,10.59999999999995
ppo_track_v5_960252_steps,97.25245180604132,104.4071939169726,60.16355237453573,837.6557417677283,1.0,0.0,1.0,10.639999999999947
ppo_track_v5_960252_steps,97.80890696764754,102.11929589790248,58.864886034371324,839.7538393725794,1.0,0.0,1.0,10.679999999999948
ppo_track_v5_960252_steps,98.36998102022272,99.88571036028752,57.57445422188016,841.8522708623552,1.0,0.0,1.0,10.719999999999947
ppo_track_v5_960252_steps,98.93400190546862,97.70584455590128,56.29128753704961,843.9509797264947,1.0,0.0,1.0,10.759999999999946
ppo_track_v5_960252_steps,99.50986293455448,95.58502107470365,54.940354949817426,846.0498817425633,1.0,0.0,1.0,10.799999999999946
ppo_track_v5_960252_steps,100.12557286151784,93.45224614612924,55.49677699040753,848.1488626874933,1.0,0.0,0.0,10.839999999999945
ppo_track_v5_960252_steps,100.76573434099244,91.391925926388,53.93703578987757,850.2477810021346,1.0,0.0,1.0,10.879999999999944
ppo_track_v5_960252_steps,101.426272253001,89.40178250701213,52.422449645200224,852.3464629331007,1.0,0.0,1.0,10.919999999999945
ppo_track_v5_960252_steps,102.10339043035906,87.47966710772641,50.94737870023349,854.4447096355678,1.0,0.0,1.0,10.959999999999942
ppo_track_v5_960252_steps,102.82042567454272,85.54827037316191,51.505053682187054,856.5422929415146,1.0,0.0,0.0,10.99999999999994
ppo_track_v5_960252_steps,103.55521480633205,83.69020802260978,49.951919174436014,858.6389636952491,1.0,0.0,1.0,11.03999999999994
ppo_track_v5_960252_steps,104.30385547617968,81.90288863225888,48.44438470861615,860.7344604611285,1.0,0.0,1.0,11.07999999999994
ppo_track_v5_960252_steps,105.06271691357102,80.18387105696951,46.97667044204887,862.8284939747692,1.0,0.0,1.0,11.11999999999994
ppo_track_v5_960252_steps,105.8284252408344,78.53085874857167,45.543653057775316,864.9207494489468,1.0,0.0,1.0,11.159999999999938
