model_name,x,y,speed,progress,thr,brk,rev
ppo_T1,66.70482948823722,437.94047403709936,45.41245055062713,501.76229990866125,1.0,0.0,0.0
ppo_T1,67.02384895498402,436.12398741517836,46.10719214356273,503.81969568892913,1.0,0.0,0.0
ppo_T1,67.32924051410683,434.2766924505359,46.80920509617285,505.89126272170864,1.0,0.0,0.0
ppo_T1,67.62172841745048,432.39862873238843,47.51757900388192,505.89126272170864,1.0,0.0,0.0
ppo_T1,67.9020000993028,430.48983505919995,48.23150877831833,507.9739466669427,1.0,0.0,0.0
ppo_T1,68.17070804674688,428.5503494778757,48.95028269315765,510.06479978848716,1.0,0.0,0.0
ppo_T1,68.42847157499963,426.5802093209662,49.673271700964996,512.1612180491213,1.0,0.0,0.0
ppo_T1,68.67587851256289,424.5794512419814,50.399919911750814,514.2610591049371,1.0,0.0,0.0
ppo_T1,68.91348680076901,422.54811124891205,51.129736125781385,516.3626775800581,1.0,0.0,0.0
ppo_T1,69.14182601206944,420.486224736049,51.86228631761217,518.4648873784496,1.0,0.0,0.0
ppo_T1,69.36139879119426,418.39382651418657,52.59718697436163,520.5668887578513,1.0,0.0,0.0
ppo_T1,69.57268222310074,416.2709508392928,53.334099198201535,522.6681915115336,1.0,0.0,0.0
ppo_T1,69.77612913143017,414.1176314397236,54.07272349039487,522.6681915115336,1.0,0.0,0.0
ppo_T1,69.972169311003,411.9339015420553,54.81279514160696,524.7685338231288,1.0,0.0,0.0
ppo_T1,70.1612106977033,409.719793895606,55.554080160409946,528.9660659303992,1.0,0.0,0.0
ppo_T1,70.34364047893295,407.4753407957116,56.29637167873974,531.0633749996499,1.0,0.0,0.0
ppo_T1,70.51982614765485,405.20057410582024,57.039486779457484,533.159907542084,1.0,0.0,0.0
ppo_T1,70.69011650289065,402.8955252784655,57.783263697067106,535.2558852765278,1.0,0.0,0.0
ppo_T1,70.85484259939322,400.5602253751746,58.52755934803136,537.3515835420523,1.0,0.0,0.0
ppo_T1,71.01431864907573,398.19470508536574,59.272247152016455,539.4473215562783,1.0,0.0,0.0
ppo_T1,71.16884287664809,395.79899474428714,60.01721510980013,541.5434485504261,1.0,0.0,0.0
ppo_T1,71.31869833178708,393.37312435004463,60.76236410752727,545.7382705259677,1.0,0.0,0.0
ppo_T1,71.46415366004823,390.9171235797655,61.50760642052454,547.8375645410235,1.0,0.0,0.0
ppo_T1,71.60546383461529,388.4310218049417,62.25286439302543,549.9383757237719,1.0,0.0,0.0
ppo_T1,71.74287085087693,385.9148481059948,62.99806927294527,552.0407528978232,1.0,0.0,0.0
ppo_T1,71.87660438571875,383.3686312861014,63.743160183315794,556.2497254312783,1.0,0.0,0.0
ppo_T1,72.00688242332345,380.7923998843172,64.48808321417397,558.3557914770288,1.0,0.0,0.0
ppo_T1,72.13391184918017,378.18618218803505,65.23279062062929,560.4624312753882,1.0,0.0,0.0
ppo_T1,72.2578890139182,375.5500062448109,65.9772401145372,562.5692646457121,1.0,0.0,0.0
ppo_T1,72.37900026849799,372.88389987358994,66.7213942387062,566.7822056290873,1.0,0.0,0.0
ppo_T1,72.4974224722143,370.1878906753628,67.4652198138897,568.8878583852817,1.0,0.0,0.0
ppo_T1,72.61332347489284,367.4620060432817,68.20868744997729,570.9928176000643,1.0,0.0,0.0
ppo_T1,72.72686257459137,364.70627317226297,68.951771113825,575.2006787776779,1.0,0.0,0.0
ppo_T1,72.83819095204947,361.92071906810304,69.69444774706606,577.3037055439852,1.0,0.0,0.0
ppo_T1,72.94745208306833,359.10537055613156,70.43669692803688,579.4062401620735,1.0,0.0,0.0
ppo_T1,73.05478212994149,356.26025428942614,71.17850057265105,583.6101314102744,1.0,0.0,0.0
ppo_T1,73.16031031300106,353.38539675661036,71.9198426696678,585.7115937113208,1.0,0.0,0.0
ppo_T1,73.2641592632893,350.48082428925625,72.66070904634233,589.9137123239627,1.0,0.0,0.0
ppo_T1,73.3664453573144,347.54656306891184,73.40108716091957,592.0144030457795,1.0,0.0,0.0
ppo_T1,73.46727903480078,344.58263913377226,74.14096591885215,594.114866372881,1.0,0.0,0.0
ppo_T1,73.56676510029753,341.58907838501267,74.88033550999093,598.315177171302,1.0,0.0,0.0
ppo_T1,73.66500300946524,338.5659065928003,75.61918726432046,600.415062633051,1.0,0.0,0.0
ppo_T1,73.76208714081933,335.51314940200183,76.35751352409716,604.6143957992869,1.0,0.0,0.0
ppo_T1,73.85810705366893,332.43083233760177,77.09530753049924,606.7138831736801,1.0,0.0,0.0
ppo_T1,73.95314773295233,329.3189808098458,77.83256332311853,610.9125800263946,1.0,0.0,0.0
ppo_T1,74.04728982163486,326.1776201191244,78.56927565081959,613.0118155442218,1.0,0.0,0.0
ppo_T1,74.14060984130089,323.00677546060837,79.30543989266334,617.2101257181741,1.0,0.0,0.0
ppo_T1,74.23318040153973,319.8064719286501,80.04105198774369,619.3092299371438,1.0,0.0,0.0
ppo_T1,74.3250703986948,316.5767345209619,80.7761083729197,623.5074182201271,1.0,0.0,0.0
ppo_T1,74.41634520451622,313.3175881425826,81.51060592754337,625.6065301888794,1.0,0.0,0.0
ppo_T1,74.50706684522989,310.0290576096439,82.24454192438719,629.8048258944525,1.0,0.0,0.0
ppo_T1,74.59729417150982,306.7111676529457,82.9779139860677,634.0032043067732,1.0,0.0,0.0
ppo_T1,74.68708301981587,303.36394292135043,83.71072004634159,636.1024076049238,1.0,0.0,0.0
ppo_T1,74.77648636553553,299.98740798500637,84.4429583157236,640.3008046340007,1.0,0.0,0.0
ppo_T1,74.86555446834602,296.5815873384074,85.17462725093756,642.3999863988494,1.0,0.0,0.0
ppo_T1,74.95433501019204,293.14650540329825,85.90572552776851,646.5982966321367,1.0,0.0,0.0
ppo_T1,75.04287322625423,289.6821865314328,86.63625201693293,650.7965262051033,1.0,0.0,0.0
ppo_T1,75.13121202926438,286.1886550071933,87.36620576262789,652.8956172535569,1.0,0.0,0.0
ppo_T1,75.21737462522029,282.7458455861815,86.09718601074238,657.0937965453777,1.0,1.0,0.0
ppo_T1,75.30343591947211,279.27380832056497,86.82759253327126,661.2920713635433,1.0,0.0,0.0
ppo_T1,75.38943165430241,275.77256733961593,87.55742284740164,663.391284096279,1.0,0.0,0.0
ppo_T1,75.49062604833806,272.3237043408998,86.25868177065473,667.5899119906003,1.0,1.0,0.0
ppo_T1,75.60800375899669,268.84715935253377,86.96314802508459,671.788814451988,1.0,0.0,0.0
ppo_T1,75.74089540013311,265.3428855255388,87.66981822028998,673.8883523403274,1.0,0.0,0.0
ppo_T1,75.8886654682372,261.8108395533392,88.37839365039586,678.0875491179007,1.0,0.0,0.0
ppo_T1,76.05071062129387,258.25098149087853,89.08860777512139,682.286846652406,1.0,0.0,0.0
ppo_T1,76.2264580450767,254.6632745829254,89.80022276677896,684.3865173576909,1.0,0.0,0.0
ppo_T1,76.4153639024339,251.04768510110154,90.51302642444355,688.5858857412705,1.0,0.0,0.0
ppo_T1,76.61691186135045,247.40418218919015,91.22682941729042,692.7852739404685,1.0,0.0,0.0
ppo_T1,76.83061169778455,243.732737716303,91.94146282277084,696.9846676553279,1.0,0.0,0.0
ppo_T1,77.05599796947996,240.03332613750752,92.65677592867543,699.0843636174847,1.0,0.0,0.0
ppo_T1,77.29262875714856,236.30592436153466,93.3726342712299,703.2837540734287,1.0,0.0,0.0
ppo_T1,77.54008446960076,232.5505116252081,94.08891788419159,707.4831456222115,1.0,0.0,0.0
ppo_T1,77.79268471089667,228.8468306717973,92.80712353639865,711.6825383155486,1.0,1.0,0.0
ppo_T1,78.05518405709567,225.11502381654998,93.52569269867053,713.7822350801101,1.0,0.0,0.0
ppo_T1,78.32723123424367,221.35507747215755,94.24438371629967,717.9816366784579,1.0,0.0,0.0
ppo_T1,78.60849269182297,217.56697989545322,94.96312198082752,722.181081068368,1.0,0.0,0.0
ppo_T1,78.9108186819296,213.8342774965342,93.6231415142302,726.3806315999047,1.0,1.0,0.0
