model_name,x,y,speed,progress,thr,brk,rev
ppo_T1,59.243087483436206,484.3474127715366,28.164997527818876,451.02966088128517,1.0,0.0,0.0
ppo_T1,58.873493189048176,483.26531227451267,28.58694444260872,451.02966088128517,1.0,0.0,0.0
ppo_T1,58.53143914025805,482.1547904536643,29.05016874815503,453.0649826457389,1.0,0.0,0.0
ppo_T1,58.222372595032155,481.0188465857645,29.43096371592596,453.0649826457389,1.0,0.0,0.0
ppo_T1,57.9511988686229,479.86112500027997,29.72640303029775,453.0649826457389,1.0,0.0,0.0
ppo_T1,57.72221071411875,478.6858236270577,29.935022264913076,455.12358821703236,1.0,0.0,0.0
ppo_T1,57.539033186765266,477.4975955550334,30.05661280893443,455.12358821703236,1.0,0.0,0.0
ppo_T1,57.40458445110599,476.3014461834985,30.092044022711196,457.1984008723572,1.0,0.0,0.0
ppo_T1,57.312402274722096,475.0907546693069,30.354895570756867,457.1984008723572,1.0,0.0,0.0
ppo_T1,57.261002760250506,473.864850288383,30.674536072858576,457.1984008723572,1.0,0.0,0.0
ppo_T1,57.254100655595444,472.6286726251866,30.90492329341008,459.28382327365654,1.0,0.0,0.0
ppo_T1,57.29465117264597,471.38752189841483,31.045324436611864,459.28382327365654,1.0,0.0,0.0
ppo_T1,57.38113304639766,470.1403711641422,31.253640472795162,461.37547158485114,1.0,0.0,0.0
ppo_T1,57.512101580645755,468.88624667085503,31.523612198099546,461.37547158485114,1.0,0.0,0.0
ppo_T1,57.68618475885935,467.62422515645807,31.849286253165122,463.46985841650155,1.0,0.0,0.0
ppo_T1,57.90207955262263,466.35343128259376,32.22506431166091,463.46985841650155,1.0,0.0,0.0
ppo_T1,58.162981259582985,465.07953234879375,32.50853920733393,465.5640164887556,1.0,0.0,0.0
ppo_T1,58.467594116535594,463.8014886769233,32.84608633297161,467.65517546073505,1.0,0.0,0.0
ppo_T1,58.81850387842927,462.5252909121014,33.08906915365671,467.65517546073505,1.0,0.0,0.0
ppo_T1,59.2144457083307,461.24973522758853,33.38985846180384,469.74049647883254,1.0,0.0,0.0
ppo_T1,59.65002273828612,459.9667535832929,33.872640587798514,469.74049647883254,1.0,0.0,0.0
ppo_T1,60.118877245040984,458.6692303610566,34.49085984673148,471.81695165118776,1.0,0.0,0.0
ppo_T1,60.61385402599856,457.351122557167,35.199522336618784,473.88132774304313,1.0,0.0,0.0
ppo_T1,61.12717717948146,456.00755114001464,35.95730813140038,475.9304704115636,1.0,0.0,0.0
ppo_T1,61.65063533161842,454.63486251506276,36.72773558660141,477.9616644289837,1.0,0.0,0.0
