timesteps,progress
2370000,2041.1296562914085
2380000,1684.310751957285
2390000,1981.946700972447
2400000,1751.9644666245295
2410000,764.5763225569009
2420000,950.0583142445755
2430000,880.1826673121016
2440000,1552.3456950144985
2450000,974.1038378817477
2460000,253.69794267395292
2470000,1358.8450341062498
2480000,1504.18064746826
2490000,3445.2227722195676
2500000,1860.0159839203325
2510000,998.03727433883
2520000,3532.055644838038
2530000,1835.2303073242683
2540000,2229.301627017983
2550000,2640.017195966234
2560000,2546.9418994952994
2570000,2306.487518492906
2580000,4757.608675450001
2590000,2076.8374118048787
2600000,5205.271740137688
2610000,1942.3737290049326
2620000,3292.4256254695956
2630000,3604.7211413338055
2640000,1779.4565310454257
2650000,5193.517983174012
2660000,3435.423976274279
2670000,5689.745733135503
2680000,3515.756685123846
2690000,3163.315855064582
2700000,2423.0205376723775
2710000,3140.9540606453193
2720000,3327.400027231044
2730000,2588.7591201983764
2740000,2935.3274003728716
2750000,912.5533999386948
2760000,961.3219509566995
2770000,196.0803362545143
2780000,310.91818363686207
2790000,1016.0508169177444
2800000,745.6725663288138
2810000,543.3140904149838
2820000,952.0129762325608
2830000,3499.0499660188466
2840000,102.59433025807425
2850000,1920.6370957072486
2860000,5264.889657106605
2870000,2516.111665370141
2880000,5138.925118176367
2890000,5048.210866185053
2900000,5935.1449183218
2910000,815.8743489525007
2920000,272.59923719346085
2930000,1384.9455484672299
2940000,3181.407200996668
2950000,4965.527679470292
2960000,4455.413636177906
2970000,2685.3583913240527
2980000,4684.421931510435
2990000,1370.912126345677
3000000,3056.520922619878
3010000,3043.815747187361
3020000,3753.8271851859417
3030000,4068.8481173382233
3040000,2941.287390898059
3050000,3084.6187168363
3060000,5582.825421926106
3070000,3999.598638924477
3080000,1629.7825809121455
3090000,1282.3576523148258
3100000,974.0406062343977
3110000,5520.9199413214255
3120000,1929.8589323633669
3130000,774.2782233054448
3140000,685.3688880409821
3150000,3097.819725347435
3160000,3099.478643537824
3170000,3156.3205188708744
3180000,2528.461001337705
3190000,7305.104820039807
3200000,2529.925901929097
3210000,5542.357864939105
3220000,1980.333081839271
3230000,6684.952872597977
3240000,3520.2308887781996
3250000,3682.4501524943053
3260000,2444.2691502711614
3270000,3161.1735694709014
3280000,6486.903891161841
3290000,5976.227138967548
3300000,3289.596779870399
3310000,4043.338856428596
3320000,3294.4756041510495
3330000,3018.765658241799
3340000,4507.26555267253
3350000,2385.918464695678
3360000,4573.626927221658
3370000,3705.711260969587
3380000,1511.0500587004021
3390000,3007.839945692976
3400000,2372.001458609477
